1,"Imagenología - B","Apoyo","Diagnóstico","II Nivel"
2,"Unidad de Cuidados Intensivos - C","Hospitalario","Crítica","III Nivel"
3,"Cirugía General - Norte","Quirúrgico","Quirófano","III Nivel"
4,"Consulta Externa - Sur","Ambulatorio","Medicina General","I Nivel"
5,"Cirugía General - Sala 6","Quirúrgico","Quirófano","III Nivel"
6,"Cirugía General - A","Quirúrgico","Quirófano","III Nivel"
7,"Pediatría - B","Hospitalario","Clínico","III Nivel"
8,"Laboratorio Clínico - C","Apoyo","Diagnóstico","II Nivel"
9,"Traumatología - Norte","Hospitalario","Especialidades","III Nivel"
10,"Ginecología y Obstetricia - Sur","Hospitalario","Maternidad","III Nivel"
11,"Consulta Externa - Sala 12","Ambulatorio","Medicina General","I Nivel"
12,"Cardiología - A","Ambulatorio","Especialidades","III Nivel"
13,"Unidad de Cuidados Intensivos - B","Hospitalario","Crítica","III Nivel"
14,"Traumatología - C","Hospitalario","Especialidades","III Nivel"
15,"Ginecología y Obstetricia - Norte","Hospitalario","Maternidad","III Nivel"
16,"Cirugía General - Sur","Quirúrgico","Quirófano","III Nivel"
17,"Emergencias - Sala 18","Emergencia","Hospitalización","II Nivel"
18,"Traumatología - A","Hospitalario","Especialidades","III Nivel"
19,"Unidad de Cuidados Intensivos - B","Hospitalario","Crítica","III Nivel"
20,"Unidad de Cuidados Intensivos - C","Hospitalario","Crítica","III Nivel"
21,"Emergencias - Norte","Emergencia","Hospitalización","II Nivel"
22,"Pediatría - Sur","Hospitalario","Clínico","III Nivel"
23,"Unidad de Cuidados Intensivos - Sala 24","Hospitalario","Crítica","III Nivel"
24,"Ginecología y Obstetricia - A","Hospitalario","Maternidad","III Nivel"
25,"Ginecología y Obstetricia - B","Hospitalario","Maternidad","III Nivel"
26,"Emergencias - C","Emergencia","Hospitalización","II Nivel"
27,"Emergencias - Norte","Emergencia","Hospitalización","II Nivel"
28,"Cirugía General - Sur","Quirúrgico","Quirófano","III Nivel"
29,"Consulta Externa - Sala 30","Ambulatorio","Medicina General","I Nivel"
30,"Pediatría - A","Hospitalario","Clínico","III Nivel"
31,"Pediatría - B","Hospitalario","Clínico","III Nivel"
32,"Consulta Externa - C","Ambulatorio","Medicina General","I Nivel"
33,"Pediatría - Norte","Hospitalario","Clínico","III Nivel"
34,"Unidad de Cuidados Intensivos - Sur","Hospitalario","Crítica","III Nivel"
35,"Emergencias - Sala 36","Emergencia","Hospitalización","II Nivel"
36,"Unidad de Cuidados Intensivos - A","Hospitalario","Crítica","III Nivel"
37,"Cardiología - B","Ambulatorio","Especialidades","III Nivel"
38,"Cirugía General - C","Quirúrgico","Quirófano","III Nivel"
39,"Cirugía General - Norte","Quirúrgico","Quirófano","III Nivel"
40,"Pediatría - Sur","Hospitalario","Clínico","III Nivel"
41,"Unidad de Cuidados Intensivos - Sala 42","Hospitalario","Crítica","III Nivel"
42,"Emergencias - A","Emergencia","Hospitalización","II Nivel"
43,"Pediatría - B","Hospitalario","Clínico","III Nivel"
44,"Cirugía General - C","Quirúrgico","Quirófano","III Nivel"
45,"Ginecología y Obstetricia - Norte","Hospitalario","Maternidad","III Nivel"
46,"Emergencias - Sur","Emergencia","Hospitalización","II Nivel"
47,"Cirugía General - Sala 48","Quirúrgico","Quirófano","III Nivel"
48,"Cirugía General - A","Quirúrgico","Quirófano","III Nivel"
49,"Cirugía General - B","Quirúrgico","Quirófano","III Nivel"
50,"Unidad de Cuidados Intensivos - C","Hospitalario","Crítica","III Nivel"
51,"Consulta Externa - Norte","Ambulatorio","Medicina General","I Nivel"
52,"Cardiología - Sur","Ambulatorio","Especialidades","III Nivel"
53,"Emergencias - Sala 54","Emergencia","Hospitalización","II Nivel"
54,"Ginecología y Obstetricia - A","Hospitalario","Maternidad","III Nivel"
55,"Pediatría - B","Hospitalario","Clínico","III Nivel"
56,"Ginecología y Obstetricia - C","Hospitalario","Maternidad","III Nivel"
57,"Ginecología y Obstetricia - Norte","Hospitalario","Maternidad","III Nivel"
58,"Pediatría - Sur","Hospitalario","Clínico","III Nivel"
59,"Cardiología - Sala 60","Ambulatorio","Especialidades","III Nivel"
60,"Pediatría - A","Hospitalario","Clínico","III Nivel"
61,"Traumatología - B","Hospitalario","Especialidades","III Nivel"
62,"Emergencias - C","Emergencia","Hospitalización","II Nivel"
63,"Imagenología - Norte","Apoyo","Diagnóstico","II Nivel"
64,"Unidad de Cuidados Intensivos - Sur","Hospitalario","Crítica","III Nivel"
65,"Ginecología y Obstetricia - Sala 66","Hospitalario","Maternidad","III Nivel"
66,"Cirugía General - A","Quirúrgico","Quirófano","III Nivel"
